years_count,segments
2,79
3,170
4,186
5,62
6,58
7,79
8,186
9,170
10,514
11,551
12,352
13,313
14,314
15,308
16,269
17,272
18,229
19,162
20,193
21,187
22,189
23,139
24,182
25,110
26,73
27,85
28,196
29,329
