unit_id,name,old_population,new_population,operation
adm_1848_2,Киргизская степь,25000,,population removed from context polygon; not a statistical carrier for 1848 Tomsk gubernia
adm_1848_3,Бийский округ,203664,228664,Semipalatinsk/Ust-Kamenogorsk 1848 tail reassigned to Biysk okrug as Tomsk-gubernia carrier
