year,features_total,urban_polygons,total_pop,urban_pop,strict_city_pop,worker_settlement_pop,broader_urban_pop
1918,52,19,6702487,587300,587300,0,587300
1923,49,19,6935730,605700,591700,0,605700
1926,288,22,8951942,735900,735900,0,735900
1930,219,27,7644725,1023000,927200,95800,1023000
1939,241,40,8919779,2334554,2262700,71854,2334554
