year,unit_id,name,unit_type,area_km2,special_status_code,reason
1838,adm_1838_018,Волости двоеданцев,волость,15494.084,double_tax_volosts,special_status
1838,adm_1838_022,Акмолинский внешний округ,внешний округ,120776.501,external_district_context,special_status
1838,adm_1838_023,Кокчетавский внешний округ,внешний округ,169806.769,external_district_context,special_status
1838,adm_1838_024,Аягузский внешний округ,внешний округ,134619.388,external_district_context,special_status
1838,adm_1838_025,Баянаульский внешний округ,внешний округ,50509.333,external_district_context,special_status
1838,adm_1838_026,Каркаралинский внешний округ,внешний округ,66644.987,external_district_context,special_status
1848,adm_1848_2,Киргизская степь,степная территория,1179423.164,kazakh_steppe,special_status
1848,adm_1848_15,Волости двоеданцев,волость,39446.818,double_tax_volosts,special_status
1848,adm_1848_18,Волости двоеданцев,волость,39446.818,double_tax_volosts,special_status
1918,urban_1918_1,Барабинск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_2,Барнаул,город,28.24,,city_area_lt_50_km2
1918,urban_1918_3,Берёзов,город,28.24,,city_area_lt_50_km2
1918,urban_1918_4,Бийск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_5,Ишим,город,28.24,,city_area_lt_50_km2
1918,urban_1918_6,Каинск / Куйбышев,город,28.24,,city_area_lt_50_km2
1918,urban_1918_7,Камень-на-Оби,город,28.24,,city_area_lt_50_km2
1918,urban_1918_8,Кузнецк / Сталинск / Новокузнецк,город,28.24,,city_area_lt_50_km2
1918,urban_1918_9,Мариинск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_10,Ново-Николаевск / Новосибирск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_11,Омск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_12,Славгород,город,28.24,,city_area_lt_50_km2
1918,urban_1918_13,Тара,город,28.24,,city_area_lt_50_km2
1918,urban_1918_14,Татарск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_15,Тобольск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_16,Томск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_17,Тюкалинск,город,28.24,,city_area_lt_50_km2
1918,urban_1918_18,Тюмень,город,28.24,,city_area_lt_50_km2
1918,urban_1918_19,Ялуторовск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_1,Барабинск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_2,Барнаул,город,28.24,,city_area_lt_50_km2
1923,urban_1923_3,Бийск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_4,Ишим,город,28.24,,city_area_lt_50_km2
1923,urban_1923_5,Каинск / Куйбышев,город,28.24,,city_area_lt_50_km2
1923,urban_1923_6,Камень-на-Оби,город,28.24,,city_area_lt_50_km2
1923,urban_1923_7,Кузнецк / Сталинск / Новокузнецк,город,28.24,,city_area_lt_50_km2
1923,urban_1923_8,Мариинск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_9,Ново-Николаевск / Новосибирск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_10,Омск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_11,Славгород,город,28.24,,city_area_lt_50_km2
1923,urban_1923_12,Тара,город,28.24,,city_area_lt_50_km2
1923,urban_1923_13,Татарск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_14,Тобольск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_15,Томск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_16,Тюкалинск,город,28.24,,city_area_lt_50_km2
1923,urban_1923_17,Тюмень,город,28.24,,city_area_lt_50_km2
1923,urban_1923_18,Щегловск / Кемерово,спорный город,28.24,,city_area_lt_50_km2
1923,urban_1923_19,Ялуторовск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_1,Барабинск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_2,Барнаул,город,28.24,,city_area_lt_50_km2
1926,urban_1926_3,Бийск,город,21.95,,city_area_lt_50_km2
1926,urban_1926_4,Ишим,город,28.24,,city_area_lt_50_km2
1926,urban_1926_5,Каинск / Куйбышев,город,28.24,,city_area_lt_50_km2
1926,urban_1926_6,Камень-на-Оби,город,28.24,,city_area_lt_50_km2
1926,urban_1926_7,Кузнецк / Сталинск / Новокузнецк,город,18.57,,city_area_lt_50_km2
1926,urban_1926_8,Ленинск-Кузнецкий,город,28.24,,city_area_lt_50_km2
1926,urban_1926_9,Мариинск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_10,Ново-Николаевск / Новосибирск,город,25.78,,city_area_lt_50_km2
1926,urban_1926_11,Омск,город,11.71,,city_area_lt_50_km2
1926,urban_1926_12,Славгород,город,28.24,,city_area_lt_50_km2
1926,urban_1926_13,Тайга,город,28.24,,city_area_lt_50_km2
1926,urban_1926_14,Тара,город,26.18,,city_area_lt_50_km2
1926,urban_1926_15,Татарск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_16,Тобольск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_17,Томск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_18,Тюкалинск,город,28.24,,city_area_lt_50_km2
1926,urban_1926_19,Тюмень,город,28.24,,city_area_lt_50_km2
1926,urban_1926_20,Черепаново,город,28.24,,city_area_lt_50_km2
1926,urban_1926_21,Щегловск / Кемерово,город,21.87,,city_area_lt_50_km2
1926,urban_1926_22,Ялуторовск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_2,Барабинск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_3,Барнаул,город,28.24,,city_area_lt_50_km2
1930,urban_1930_4,Бийск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_6,Ишим,город,28.24,,city_area_lt_50_km2
1930,urban_1930_7,Каинск / Куйбышев,город,28.24,,city_area_lt_50_km2
1930,urban_1930_8,Камень-на-Оби,город,28.24,,city_area_lt_50_km2
1930,urban_1930_9,Кузнецк / Сталинск / Новокузнецк,город,28.24,,city_area_lt_50_km2
1930,urban_1930_10,Ленинск-Кузнецкий,город,28.24,,city_area_lt_50_km2
1930,urban_1930_11,Мариинск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_12,Ново-Николаевск / Новосибирск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_13,Ойрот-Тура / Горно-Алтайск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_14,Омск,город,21.01,,city_area_lt_50_km2
1930,urban_1930_16,Рубцовск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_17,Славгород,город,28.24,,city_area_lt_50_km2
1930,urban_1930_18,Тайга,город,28.24,,city_area_lt_50_km2
1930,urban_1930_19,Тара,город,28.24,,city_area_lt_50_km2
1930,urban_1930_20,Татарск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_21,Тобольск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_22,Томск,город,18.71,,city_area_lt_50_km2
1930,urban_1930_23,Тюкалинск,город,28.24,,city_area_lt_50_km2
1930,urban_1930_24,Тюмень,город,28.24,,city_area_lt_50_km2
1930,urban_1930_25,Черепаново,город,28.24,,city_area_lt_50_km2
1930,urban_1930_26,Щегловск / Кемерово,город,28.24,,city_area_lt_50_km2
1930,urban_1930_27,Ялуторовск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_1,Алейск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_2,Анжеро-Судженск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_3,Барабинск,город,28.24,,city_area_lt_50_km2
1939,urban_1939_4,Барнаул,город,28.24,,city_area_lt_50_km2
