year,unit_id,name,unit_type,admin_parent,origin_year,age_years,age_class_10,basis,confidence,predecessor_year,predecessor_id,predecessor_name,distance_km,name_similarity,overlap_iou
2021,adm_2021_147,Барабинский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_116+adm_1989_264,Барабинский муниципальный район,2.2,1.0,0.0
2021,adm_2021_148,Петуховский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_149,Новосибирский муниципальный район,муниципальный район,Новосибирская область,1970,51,50–59 лет,name+centroid,high,1989,adm_1989_245+adm_1989_261,Новосибирский муниципальный район,4.2,1.0,0.0
2021,adm_2021_15,Краснощёковский муниципальный район,муниципальный район,Алтайский край,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_14,Краснощёковский муниципальный район,5.0,1.0,0.0
2021,adm_2021_150,Крапивинский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_151,Омский муниципальный район,муниципальный район,Омская область,1970,51,50–59 лет,name+centroid,high,1989,adm_1989_119+adm_1989_257,Омский муниципальный район,32.9,1.0,0.0
2021,adm_2021_152,Тогучинский муниципальный район,муниципальный район,Новосибирская область,1930,91,90 лет и старше,name+centroid,high,1989,adm_1989_121,Тогучинский муниципальный район,0.0,1.0,0.0
2021,adm_2021_153,Коченевский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_120,Коченевский муниципальный район,9.5,1.0,0.0
2021,adm_2021_156,Татарский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_123+adm_1989_258,Татарский муниципальный район,1.6,1.0,0.0
2021,adm_2021_157,Макушинский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_158,Любинский муниципальный район,муниципальный район,Омская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_124,Любинский муниципальный район,3.5,1.0,0.0
2021,adm_2021_159,Мошковский муниципальный район,муниципальный район,Новосибирская область,1979,42,40–49 лет,name+centroid,high,1989,adm_1989_125,Мошковский муниципальный район,1.9,1.0,0.0
2021,adm_2021_16,Рубцовский муниципальный район,муниципальный район,Алтайский край,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_15,Рубцовский муниципальный район,0.0,1.0,0.0
2021,adm_2021_160,Чановский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_126,Чановский муниципальный район,0.0,1.0,0.0
2021,adm_2021_161,Лебяжьевский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_162,Каргатский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_127,Каргатский муниципальный район,0.0,1.0,0.0
2021,adm_2021_163,Топкинский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_164,Юргамышский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_165,Частоозерский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_167,Горьковский муниципальный район,муниципальный район,Омская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_130,Горьковский муниципальный район,0.0,1.0,0.0
2021,adm_2021_169,Кетовский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_17,Солонешенский муниципальный район,муниципальный район,Алтайский край,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_16,Солонешенский муниципальный район,2.4,1.0,0.0
2021,adm_2021_170,Шумихинский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_171,Щучанский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_172,Мишкинский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_173,Кемеровский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_174,Казанский муниципальный район,муниципальный район,Тюменская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_132,Казанский муниципальный район,5.0,1.0,0.0
2021,adm_2021_176,Называевский муниципальный район,муниципальный район,Омская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_135+adm_1989_256,Называевский муниципальный район,32.6,1.0,0.0
2021,adm_2021_177,Чулымский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_136,Чулымский муниципальный район,0.0,1.0,0.0
2021,adm_2021_178,Сладковский муниципальный район,муниципальный район,Тюменская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_134,Сладковский муниципальный район,2.5,1.0,0.0
2021,adm_2021_179,Тисульский муниципальный район,муниципальный район,Кемеровская область,1930,91,90 лет и старше,name+centroid,high,1989,adm_1989_150,Тисульский муниципальный район,0.0,1.0,0.0
2021,adm_2021_180,Нижнеомский муниципальный район,муниципальный район,Омская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_137,Нижнеомский муниципальный район,1.3,1.0,0.0
2021,adm_2021_181,Мокроусовский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_183,Болотнинский муниципальный район,муниципальный район,Новосибирская область,1930,91,90 лет и старше,name+centroid,high,1989,adm_1989_138,Болотнинский муниципальный район,3.2,1.0,0.0
2021,adm_2021_184,Варгашинский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_185,Бердюжский муниципальный район,муниципальный район,Тюменская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_139,Бердюжский муниципальный район,1.4,1.0,0.0
2021,adm_2021_186,Саргатский муниципальный район,муниципальный район,Омская область,1970,51,50–59 лет,name+centroid,high,1989,adm_1989_140,Саргатский муниципальный район,0.0,1.0,0.0
2021,adm_2021_188,Чебулинский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_189,Юргинский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_191,Усть-Таркский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_144,Усть-Таркский муниципальный район,0.0,1.0,0.0
2021,adm_2021_192,Куйбышевский муниципальный район,муниципальный район,Новосибирская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_147+adm_1989_243,Куйбышевский муниципальный район,5.1,1.0,0.0
2021,adm_2021_194,Каргапольский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_196,Яшкинский муниципальный округ,муниципальный округ,Кемеровская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_197,Армизонский муниципальный район,муниципальный район,Тюменская область,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_148,Армизонский муниципальный район,5.6,1.0,0.0
2021,adm_2021_198,Белозерский муниципальный район,муниципальный район,Курганская область,2021,0,0–9 лет,new_or_unmatched,low,,,,,,
2021,adm_2021_2,Усть-Коксинский муниципальный район,муниципальный район,Республика Алтай,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_2,Усть-Коксинский муниципальный район,3.6,1.0,0.0
2021,adm_2021_20,Майминский муниципальный район,муниципальный район,Республика Алтай,1926,95,90 лет и старше,name+centroid,high,1989,adm_1989_18,Майминский муниципальный район,0.0,1.0,0.0
