year,unit_id,name,admin_parent,operation,old_population,new_population,note,source_total,urban_subtracted,old_name
1930,urban_1930_4,Бийск,Бийский округ,urban_exact_1930,51800.0,51404,,,,
1930,urban_1930_5,Гурьевск,Щегловский округ,urban_exact_1930,8400.0,5606,,,,
1930,urban_1930_7,Каинск / Куйбышев,Каинский округ,urban_exact_1930,9200.0,11612,,,,
1930,urban_1930_8,Камень-на-Оби,Каменский округ,urban_exact_1930,22800.0,27175,,,,
1930,urban_1930_9,Кузнецк / Сталинск / Новокузнецк,Щегловский округ,urban_exact_1930,32000.0,5568,,,,
1930,urban_1930_10,Ленинск-Кузнецкий,Щегловский округ,urban_exact_1930,35200.0,27169,,,,
1930,urban_1930_11,Мариинск,Томский округ,urban_exact_1930,11200.0,12030,,,,
1930,urban_1930_12,Ново-Николаевск / Новосибирск,Новосибирский округ,urban_exact_1930,167700.0,146000,,,,
1930,urban_1930_13,Ойрот-Тура / Горно-Алтайск,Ойратская АО,urban_exact_1930,7900.0,8074,,,,
1930,urban_1930_14,Омск,Омский округ,urban_exact_1930,161300.0,185130,,,,
1930,urban_1930_15,Прокопьевск,Щегловский округ,urban_exact_1930,37800.0,33018,,,,
1930,urban_1930_16,Рубцовск,Рубцовский округ,urban_exact_1930,20600.0,22552,,,,
1930,urban_1930_17,Славгород,Славгородский округ,urban_exact_1930,16300.0,24082,,,,
1930,urban_1930_18,Тайга,Томский округ,urban_exact_1930,14600.0,13539,,,,
1930,urban_1930_19,Тара,Омский округ,urban_exact_1930,9800.0,12003,,,,
1930,urban_1930_20,Татарск,Каинский округ,urban_exact_1930,9200.0,11835,,,,
1930,urban_1930_22,Томск,Томский округ,urban_exact_1930,99000.0,110624,,,,
1930,urban_1930_23,Тюкалинск,Омский округ,urban_exact_1930,4400.0,4353,,,,
1930,urban_1930_24,Тюмень,Тюменский округ,urban_exact_1930,56500.0,62600,,,,
1930,urban_1930_25,Черепаново,Новосибирский округ,urban_exact_1930,13500.0,8808,,,,
1930,urban_1930_26,Щегловск / Кемерово,Щегловский округ,urban_exact_1930,42800.0,47430,,,,
1930,urban_1930_27,Ялуторовск,Тюменский округ,urban_exact_1930,6100.0,8174,,,,
1930,adm_1930_36,Мамонтовский,Барнаульский округ,rename_and_set_population_from_schneider,34306.0,41013,,,,Безымянный район №1 (Барнаульский округ)
1930,adm_1930_37,Алейский,Барнаульский округ,rename_and_set_population_from_schneider,68888.0,59027,,,,Безымянный район №2 (Барнаульский округ)
