year,features,duplicate_unit_id_groups,duplicate_name_parent_type_groups
1848,18,0,0
1855,26,0,0
1876,29,0,0
1897,29,0,1
1914,28,0,0
1918,52,0,3
1923,49,0,1
1926,287,0,0
1930,219,0,0
1939,241,0,0
1947,252,0,0
1959,250,0,0
1964,158,0,0
1970,235,0,0
1979,247,0,0
1989,221,0,0
2021,288,0,0
