year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation,contact_method,is_bridge
1876,adm_1876_1,Сургутский округ,Тобольская губерния,adm_1876_15,Нарымский округ,Томская губерния,613.692,cross_parent,shared_boundary,False
1876,adm_1876_1,Сургутский округ,Тобольская губерния,adm_1876_18,Тарский округ,Тобольская губерния,255.703,same_parent,shared_boundary,False
1876,adm_1876_1,Сургутский округ,Тобольская губерния,adm_1876_16,Тобольский округ,Тобольская губерния,289.466,same_parent,shared_boundary,False
1876,adm_1876_16,Тобольский округ,Тобольская губерния,adm_1876_18,Тарский округ,Тобольская губерния,356.589,same_parent,shared_boundary,False
1876,adm_1876_13,Томский округ,Томская губерния,adm_1876_17,Мариинский округ,Томская губерния,306.651,same_parent,shared_boundary,False
1876,adm_1876_13,Томский округ,Томская губерния,adm_1876_15,Нарымский округ,Томская губерния,637.203,same_parent,shared_boundary,False
1876,adm_1876_14,Туринский округ,Тобольская губерния,adm_1876_16,Тобольский округ,Тобольская губерния,431.796,same_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_29,Баянаульский округ,Семипалатинская область,120.064,cross_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_8,Ишимский округ,Тобольская губерния,303.217,same_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_10,Каинский округ,Томская губерния,229.787,cross_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_26,Омский округ,Акмолинская область,411.568,cross_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_25,Петропавловский округ,Акмолинская область,116.592,cross_parent,shared_boundary,False
1876,adm_1876_7,Тюкалинский округ,Тобольская губерния,adm_1876_18,Тарский округ,Тобольская губерния,349.037,same_parent,shared_boundary,False
1876,adm_1876_11,Тюменский округ,Тобольская губерния,adm_1876_16,Тобольский округ,Тобольская губерния,154.151,same_parent,shared_boundary,False
1876,adm_1876_11,Тюменский округ,Тобольская губерния,adm_1876_14,Туринский округ,Тобольская губерния,145.605,same_parent,shared_boundary,False
1876,adm_1876_9,Ялуторовский округ,Тобольская губерния,adm_1876_16,Тобольский округ,Тобольская губерния,100.735,same_parent,shared_boundary,False
1876,adm_1876_9,Ялуторовский округ,Тобольская губерния,adm_1876_11,Тюменский округ,Тобольская губерния,185.814,same_parent,shared_boundary,False
