year,unit_id,name,unit_type,admin_parent,total_boundary_km,coast_km,river_km,lake_km,watershed_km,inherited_km,unexplained_km,coast_pct,river_pct,lake_pct,watershed_pct,inherited_pct,unexplained_pct,dominant_origin,dominant_origin_pct
1719,adm_1719_008,Южно-сибирская зона слабого контроля,особая реконструкционная территория,Тобольская провинция,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1719,adm_1719_009,"Телеутская степь (уезд не указан, это левобережье оби между иртышом и обью), находятся крепость Семипалатинская, Ямышевская, и крепость Усть-Каменогорск",степная территория без уезда,Тобольская провинция,1761.348,0.0,1000.0,0.0,400.0,201.348,160.0,0.0,56.77,0.0,22.71,11.43,9.08,river,56.77
1719,adm_1719_010,Кузнецкий уезд,уезд,Тобольская провинция,2046.869,0.0,330.0,0.0,1216.869,340.0,160.0,0.0,16.12,0.0,59.45,16.61,7.82,watershed,59.45
1719,adm_1719_011,Красноярский уезд,уезд,Тобольская провинция,2316.152,0.0,590.0,10.0,1176.152,340.0,200.0,0.0,25.47,0.43,50.78,14.68,8.64,watershed,50.78
1719,adm_1719_012,Енисейский уезд,уезд,Тобольская провинция,2098.118,0.0,538.118,0.0,1050.0,250.0,260.0,0.0,25.65,0.0,50.04,11.92,12.39,watershed,50.04
1719,adm_1719_013,Кунгурский уезд,уезд,Соль-Камская провинция,641.639,0.0,70.0,0.0,310.0,20.0,241.639,0.0,10.91,0.0,48.31,3.12,37.66,watershed,48.31
1719,adm_1719_014,Чердынский уезд,уезд,Соль-Камская провинция,1286.49,0.0,190.0,0.0,906.49,0.0,190.0,0.0,14.77,0.0,70.46,0.0,14.77,watershed,70.46
1719,adm_1719_015,Хлыновский уезд,уезд,Хлыновская провинция,672.542,0.0,230.0,0.0,322.542,0.0,120.0,0.0,34.2,0.0,47.96,0.0,17.84,watershed,47.96
1719,adm_1719_016,Неклассифицированные,АТЕ,Хлыновская провинция,30.346,0.0,0.0,0.0,30.346,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,watershed,100.0
1719,adm_1719_017,Соликамский уезд,уезд,Соль-Камская провинция,1229.21,0.0,170.0,0.0,749.21,0.0,310.0,0.0,13.83,0.0,60.95,0.0,25.22,watershed,60.95
1719,adm_1719_018,Слободской уезд,уезд,Хлыновская провинция,1193.818,0.0,343.818,0.0,620.0,0.0,230.0,0.0,28.8,0.0,51.93,0.0,19.27,watershed,51.93
1719,adm_1719_019,Кайгородский уезд,уезд,Хлыновская провинция,717.525,0.0,90.0,0.0,547.525,0.0,80.0,0.0,12.54,0.0,76.31,0.0,11.15,watershed,76.31
