years_count,segments
2,1492
3,1294
4,1234
5,930
6,1038
7,1037
8,1467
9,1226
10,1333
11,644
12,518
13,467
14,149
15,203
16,208
17,214
18,159
19,59
20,75
21,56
22,8
23,22
26,7
