year,metric,before,after,delta
1783,ate_total_count,25,25,0
1783,upper_ate_count,2,2,0
1783,middle_ate_count,2,2,0
1783,lower_ate_count,21,21,0
1783,total_area_km2,4859135.911,4859135.911,0.0
1783,avg_area_km2,231387.424,231387.424,0.0
1783,total_population,0.0,602900.0,602900.0
1783,population_density,,0.124076,
1783,urban_population,,,
1783,rural_population,,,
1783,urban_share,,,
1783,rail_length_km_total,0.0,0.0,0.0
1783,rail_density_km_1000,0.0,0.0,0.0
1783,avg_adjacency,4.380952,4.380952,0.0
1783,nodes,21,21,0
1783,edges,46,46,0
1783,components,1,1,0
1783,graph_density,0.219048,0.219048,0.0
1783,cyclomatic,26,26,0
1783,bridges,0,0,0
1783,articulation_points,0,0,0
1783,avg_degree,4.380952,4.380952,0.0
1783,avg_lower_units_per_upper_ate,10.5,10.5,0.0
1783,avg_area_upper_ate_km2,2429567.955,2429567.955,0.0
1783,avg_area_middle_ate_km2,2089012.169,2089012.169,0.0
1809,ate_total_count,19,19,0
1809,upper_ate_count,2,2,0
1809,middle_ate_count,0,0,0
1809,lower_ate_count,17,17,0
1809,total_area_km2,4937488.314,4937488.105,-0.20899999979883432
1809,avg_area_km2,290440.489,290440.477,-0.011999999987892807
1809,total_population,0.0,614477.0,614477.0
1809,population_density,,0.124451,
1809,urban_population,,,
1809,rural_population,,,
1809,urban_share,,,
1809,rail_length_km_total,0.0,0.0,0.0
1809,rail_density_km_1000,0.0,0.0,0.0
1809,avg_adjacency,4.117647,4.117647,0.0
1809,nodes,17,17,0
1809,edges,35,35,0
1809,components,1,1,0
1809,graph_density,0.257353,0.257353,0.0
1809,cyclomatic,19,19,0
1809,bridges,0,0,0
1809,articulation_points,0,0,0
1809,avg_degree,4.117647,4.117647,0.0
1809,avg_lower_units_per_upper_ate,8.5,8.5,0.0
1809,avg_area_upper_ate_km2,2468744.157,2468744.053,-0.10400000028312206
1809,avg_area_middle_ate_km2,,,
1821,ate_total_count,26,26,0
1821,upper_ate_count,2,2,0
1821,middle_ate_count,0,0,0
1821,lower_ate_count,17,17,0
1821,total_area_km2,4841567.679,4841567.679,0.0
1821,avg_area_km2,284798.099,284798.099,0.0
1821,total_population,0.0,842227.0,842227.0
1821,population_density,,0.173957,
1821,urban_population,,,
1821,rural_population,,,
1821,urban_share,,,
1821,rail_length_km_total,0.0,0.0,0.0
1821,rail_density_km_1000,0.0,0.0,0.0
1821,avg_adjacency,4.117647,4.117647,0.0
1821,nodes,17,17,0
1821,edges,35,35,0
1821,components,1,1,0
