admin_parent,population,urban_pop,rural_pop,population_diagnostic,urban_pop_diagnostic,rural_pop_diagnostic,delta_population,delta_urban_pop,delta_rural_pop
Алтайский край,2471453,904500,1566953,2471453,904500,1566953,0,0,0
Горно-Алтайская автономная область,162682,36330,126352,162682,36330,126352,0,0,0
Кемеровская область,2982272,2399558,582714,2982272,2399558,582714,0,0,0
Новосибирская область,2524871,1488927,1035944,2524871,1488927,1035944,0,0,0
Омская область,1853240,913714,939526,1853240,913714,939526,0,0,0
Томская область,794182,432570,361612,794182,432570,361612,0,0,0
Тюменская область,1009567,349072,660495,1009567,349072,660495,0,0,0
ХМАО,171207,58604,112603,171207,58604,112603,0,0,0
ЯНАО,69418,26049,43369,69418,26049,43369,0,0,0
