year,unit_id,name,old_unit_type,new_unit_type,reason,area_km2,admin_parent,old_admin_parent
1979,adm_1979_128,г. Куйбышев,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,1.23,Новосибирская область,
1979,adm_1979_132,г. Называевск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,10.81,Омская область,
1979,adm_1979_138,г. Березовский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,7.74,Кемеровская область,
1979,adm_1979_140,г. Юрга,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,20.87,Кемеровская область,
1979,adm_1979_141,г. Тюкалинск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,0.76,Омская область,
1979,adm_1979_151,г. Анжеро-Судженск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,29.3,Кемеровская область,
1979,adm_1979_152,г. Ишим,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,0.83,Тюменская область,
1979,adm_1979_157,г. Мариинск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,5.43,Кемеровская область,
1979,adm_1979_166,г. Томск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,13.7,Томская область,
1979,adm_1979_173,Ялуторовский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2.73,Тюменская область,
1979,adm_1979_18,г. Горно-Алтайск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,99.33,Республика Алтай,
1979,adm_1979_183,г. Тара,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,4.23,Омская область,
1979,adm_1979_185,г. Асино,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,6.03,Томская область,
1979,adm_1979_190,г. Ялуторовск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2993.93,Тюменская область,
1979,adm_1979_191,г. Тюмень,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,9.24,Тюменская область,
1979,adm_1979_209,г. Тобольск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2.94,Тюменская область,
1979,adm_1979_211,г. Колпашево,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2.92,Томская область,
1979,adm_1979_223,г. Урай,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,25.01,ХМАО,
1979,adm_1979_226,г. Стрежевой,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,6.84,Томская область,
1979,adm_1979_228,г. Нижневартовск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,13.65,ХМАО,
1979,adm_1979_229,г. Ханты-Мансийск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,7.14,ХМАО,
1979,adm_1979_231,г. Нефтеюганск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,25201.97,ХМАО,
1979,adm_1979_232,г. Сургут,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,18.96,ХМАО,
1979,adm_1979_239,г. Надым,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,22.5,ЯНАО,
1979,adm_1979_241,г. Салехард,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,107.56,ЯНАО,
1979,adm_1979_242,г. Лабытнанги,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,49.95,ЯНАО,
1979,adm_1979_256,г. Тайга,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,9.22,Кемеровская область,
1979,adm_1979_3,г. Змеиногорск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,25.25,Алтайский край,
1979,adm_1979_30,Алейский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,0.97,Алтайский край,
1979,adm_1979_33,г. Бийск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,149.06,Алтайский край,
1979,adm_1979_38,г. Таштагол,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,14.21,Кемеровская область,
1979,adm_1979_39,г. Алейск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,3538.4,Алтайский край,
1979,adm_1979_44,г. Славгород,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,7.22,Алтайский край,
1979,adm_1979_55,г. Новоалтайск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,119.75,Алтайский край,
1979,adm_1979_57,г. Барнаул,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,872.86,Алтайский край,
1979,adm_1979_61,г. Осинники,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,2.77,Кемеровская область,
1979,adm_1979_65,г. Междуреченск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,15.98,Кемеровская область,
1979,adm_1979_67,г. Мыски,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,17.31,Кемеровская область,
1979,adm_1979_70,г. Новокузнецк,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,46.19,Кемеровская область,
1979,adm_1979_71,г. Камень-на-Оби,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,1.58,Алтайский край,
1979,adm_1979_74,г. Прокопьевск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,5.47,Кемеровская область,
1979,adm_1979_76,г. Киселевск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,4.58,Кемеровская область,
1979,adm_1979_82,г. Гурьевск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,1.88,Кемеровская область,
1979,adm_1979_88,г. Белово,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,5.25,Кемеровская область,
1979,adm_1979_96,г. Искитим,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,13.21,Новосибирская область,
1979,adm_1979_97,г. Ленинск-Кузнецкий,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,4.6,Кемеровская область,
1989,adm_1989_101,город Бердск,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,51.05,Новосибирская область,
1989,adm_1989_122,Кемеровский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,335.37,Кемеровская область,
1989,adm_1989_129,Березовский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,129.44,Кемеровская область,
1989,adm_1989_131,Юргинский,район,горсовет,v117: городские контуры 1939–1989 нормализованы как горсоветы,67.56,Кемеровская область,
