years_count,segments
2,79
3,168
4,183
5,60
6,56
7,76
8,183
9,166
10,509
11,548
12,347
13,308
14,309
15,299
16,263
17,264
18,220
19,157
20,188
21,175
22,185
23,138
24,177
25,107
26,72
27,83
28,192
29,325
