year,source_id,source_name,source_parent,target_id,target_name,target_parent,boundary_km,relation,contact_method,is_bridge
1783,adm_1783_016,Тобольский уезд,Тобольское наместничество,adm_1783_017,Туринский уезд,Тобольское наместничество,390.564,same_parent,shared_boundary,False
1783,adm_1783_016,Тобольский уезд,Тобольское наместничество,adm_1783_021,Тюменский уезд,Тобольское наместничество,139.199,same_parent,shared_boundary,False
1783,adm_1783_005,Томский уезд,Тобольское наместничество,adm_1783_007,Ачинский уезд,Тобольское наместничество,46.272,same_parent,shared_boundary,False
1783,adm_1783_005,Томский уезд,Тобольское наместничество,adm_1783_014,Каинский уезд,Тобольское наместничество,316.451,same_parent,shared_boundary,False
1783,adm_1783_005,Томский уезд,Тобольское наместничество,adm_1783_008,Колыванский уезд,Колыванское наместничество,163.601,cross_parent,shared_boundary,False
1783,adm_1783_005,Томский уезд,Тобольское наместничество,adm_1783_009,Кузнецкий уезд,Колыванское наместничество,108.873,cross_parent,shared_boundary,False
1783,adm_1783_005,Томский уезд,Тобольское наместничество,adm_1783_020,Нарымский уезд,Тобольское наместничество,289.527,same_parent,shared_boundary,False
1783,adm_1783_017,Туринский уезд,Тобольское наместничество,adm_1783_021,Тюменский уезд,Тобольское наместничество,141.181,same_parent,shared_boundary,False
1783,adm_1783_001,Туруханский уезд,Тобольское наместничество,adm_1783_002,Берёзовский уезд,Тобольское наместничество,556.612,same_parent,shared_boundary,False
1783,adm_1783_001,Туруханский уезд,Тобольское наместничество,adm_1783_019,Енисейский уезд,Тобольское наместничество,1525.44,same_parent,shared_boundary,False
1783,adm_1783_001,Туруханский уезд,Тобольское наместничество,adm_1783_020,Нарымский уезд,Тобольское наместничество,472.632,same_parent,shared_boundary,False
1783,adm_1783_001,Туруханский уезд,Тобольское наместничество,adm_1783_018,Сургутский уезд,Тобольское наместничество,276.028,same_parent,shared_boundary,False
1783,adm_1783_013,Ялуторовский уезд,Тобольское наместничество,adm_1783_016,Тобольский уезд,Тобольское наместничество,89.033,same_parent,shared_boundary,False
1783,adm_1783_013,Ялуторовский уезд,Тобольское наместничество,adm_1783_021,Тюменский уезд,Тобольское наместничество,209.355,same_parent,shared_boundary,False
1805,adm_1805_004,Березовский уезд,Тобольская губерния,adm_1805_012,Нарымский уезд,Томская губерния,226.599,cross_parent,shared_boundary,False
1805,adm_1805_004,Березовский уезд,Тобольская губерния,adm_1805_013,Тарский уезд,Тобольская губерния,508.605,same_parent,shared_boundary,False
1805,adm_1805_004,Березовский уезд,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,384.543,same_parent,shared_boundary,False
1805,adm_1805_004,Березовский уезд,Тобольская губерния,adm_1805_011,Туринский уезд,Тобольская губерния,293.169,same_parent,shared_boundary,False
1805,adm_1805_005,Бийский уезд,Томская губерния,adm_1805_018,Каинский уезд,Томская губерния,390.332,same_parent,shared_boundary,False
1805,adm_1805_005,Бийский уезд,Томская губерния,adm_1805_006,Кузнецкий уезд,Томская губерния,522.452,same_parent,shared_boundary,False
1805,adm_1805_005,Бийский уезд,Томская губерния,adm_1805_019,Омский уезд,Тобольская губерния,113.373,cross_parent,shared_boundary,False
1805,adm_1805_005,Бийский уезд,Томская губерния,adm_1805_015,Томский уезд,Томская губерния,291.307,same_parent,shared_boundary,False
1805,adm_1805_020,Енисейский уезд,Томская губерния,adm_1805_021,Енисейский уезд,Томская губерния,18.937,same_parent,shared_boundary,False
1805,adm_1805_009,Ишимский узед,Тобольская губерния,adm_1805_019,Омский уезд,Тобольская губерния,305.543,same_parent,shared_boundary,False
1805,adm_1805_009,Ишимский узед,Тобольская губерния,adm_1805_013,Тарский уезд,Тобольская губерния,49.224,same_parent,shared_boundary,False
1805,adm_1805_009,Ишимский узед,Тобольская губерния,adm_1805_016,Тобольский уезд,Тобольская губерния,107.168,same_parent,shared_boundary,False
1805,adm_1805_009,Ишимский узед,Тобольская губерния,adm_1805_010,Ялуторовский уезд,Тобольская губерния,129.413,same_parent,shared_boundary,False
1805,adm_1805_018,Каинский уезд,Томская губерния,adm_1805_019,Омский уезд,Тобольская губерния,141.139,cross_parent,shared_boundary,False
1805,adm_1805_014,Красноярский уезд,Томская губерния,adm_1805_021,Енисейский уезд,Томская губерния,623.312,same_parent,shared_boundary,False
1805,adm_1805_014,Красноярский уезд,Томская губерния,adm_1805_015,Томский уезд,Томская губерния,166.709,same_parent,shared_boundary,False
1805,adm_1805_006,Кузнецкий уезд,Томская губерния,adm_1805_014,Красноярский уезд,Томская губерния,623.522,same_parent,shared_boundary,False
1805,adm_1805_006,Кузнецкий уезд,Томская губерния,adm_1805_015,Томский уезд,Томская губерния,293.878,same_parent,shared_boundary,False
1805,adm_1805_007,Курганский уезд,Тобольская губерния,adm_1805_009,Ишимский узед,Тобольская губерния,134.89,same_parent,shared_boundary,False
1805,adm_1805_007,Курганский уезд,Тобольская губерния,adm_1805_010,Ялуторовский уезд,Тобольская губерния,125.72,same_parent,shared_boundary,False
1805,adm_1805_012,Нарымский уезд,Томская губерния,adm_1805_021,Енисейский уезд,Томская губерния,785.823,same_parent,shared_boundary,False
1805,adm_1805_012,Нарымский уезд,Томская губерния,adm_1805_018,Каинский уезд,Томская губерния,453.778,same_parent,shared_boundary,False
1805,adm_1805_012,Нарымский уезд,Томская губерния,adm_1805_014,Красноярский уезд,Томская губерния,2.384,same_parent,overlap_sliver_boundary,False
1805,adm_1805_012,Нарымский уезд,Томская губерния,adm_1805_015,Томский уезд,Томская губерния,236.42,same_parent,shared_boundary,False
