years_count,segments
2,2127
3,2825
4,1906
5,2237
6,2392
7,3059
8,3356
9,3908
10,4291
11,3537
12,2538
13,1631
14,1152
15,742
16,464
17,310
18,190
19,130
20,81
21,55
22,22
23,13
24,6
25,1
