year,unit_id_a,name_a,unit_type_a,unit_id_b,name_b,unit_type_b,shared_boundary_km
1959,adm_1959_204,Парабельский район (сельское население),район,adm_1959_205,Верхне-Кетский район (сельское население),район,120.315
1959,adm_1959_204,Парабельский район (сельское население),район,adm_1959_208,Каргасокский район,район,1014.182
1959,adm_1959_205,Верхне-Кетский район (сельское население),район,adm_1959_208,Каргасокский район,район,62.112
1959,adm_1959_206,Уватский район (сельское население),район,adm_1959_209,Кондинский район (сельское население),район,301.072
1959,adm_1959_206,Уватский район (сельское население),район,adm_1959_210,Самаровский район (сельское население),район,614.067
1959,adm_1959_207,Александровский район (сельское население),район,adm_1959_208,Каргасокский район,район,1284.515
1959,adm_1959_207,Александровский район (сельское население),район,adm_1959_211,Ларьякский район (сельское население),район,842.478
1959,adm_1959_207,Александровский район (сельское население),район,adm_1959_212,Сургутский район,район,466.707
1959,adm_1959_208,Каргасокский район,район,adm_1959_211,Ларьякский район (сельское население),район,398.173
1959,adm_1959_209,Кондинский район (сельское население),район,adm_1959_210,Самаровский район (сельское население),район,915.645
1959,adm_1959_209,Кондинский район (сельское население),район,adm_1959_213,Октябрьский район,район,283.581
1959,adm_1959_209,Кондинский район (сельское население),район,adm_1959_214,Березовский район,район,475.889
1959,adm_1959_21,Белоглаэовский район (сельское население),район,adm_1959_23,Усть-Калманский район (сельское население),район,81.716
1959,adm_1959_21,Белоглаэовский район (сельское население),район,adm_1959_22,Поспелихинский район,район,33.272
1959,adm_1959_21,Белоглаэовский район (сельское население),район,adm_1959_34,Шипуновский район (сельское население),район,113.047
1959,adm_1959_21,Белоглаэовский район (сельское население),район,adm_1959_32,Алейский район,район,25.828
1959,adm_1959_210,Самаровский район (сельское население),район,adm_1959_213,Октябрьский район,район,621.799
1959,adm_1959_210,Самаровский район (сельское население),район,adm_1959_214,Березовский район,район,497.917
1959,adm_1959_210,Самаровский район (сельское население),район,adm_1959_212,Сургутский район,район,1643.287
1959,adm_1959_211,Ларьякский район (сельское население),район,adm_1959_216,Красноселькупский район (сельское население),район,862.04
1959,adm_1959_211,Ларьякский район (сельское население),район,adm_1959_212,Сургутский район,район,888.772
1959,adm_1959_211,Ларьякский район (сельское население),район,adm_1959_217,Пуровский район (сельское население),район,459.984
1959,adm_1959_212,Сургутский район,район,adm_1959_214,Березовский район,район,107.593
1959,adm_1959_212,Сургутский район,район,adm_1959_217,Пуровский район (сельское население),район,754.132
1959,adm_1959_212,Сургутский район,район,adm_1959_218,Надымский район (сельское население),район,183.026
1959,adm_1959_213,Октябрьский район,район,adm_1959_214,Березовский район,район,971.172
1959,adm_1959_214,Березовский район,район,adm_1959_218,Надымский район (сельское население),район,403.009
1959,adm_1959_214,Березовский район,район,adm_1959_215,Шурышкарский район (сельское население),район,1488.796
1959,adm_1959_214,Березовский район,район,adm_1959_diss_6633624,Приуральский район (сельское население),район,188.131
1959,adm_1959_215,Шурышкарский район (сельское население),район,adm_1959_diss_6633624,Приуральский район (сельское население),район,1085.93
1959,adm_1959_216,Красноселькупский район (сельское население),район,adm_1959_217,Пуровский район (сельское население),район,1161.751
1959,adm_1959_216,Красноселькупский район (сельское население),район,adm_1959_diss_1024608,Тазовский район (сельское население),район,562.261
1959,adm_1959_217,Пуровский район (сельское население),район,adm_1959_218,Надымский район (сельское население),район,1546.3
1959,adm_1959_217,Пуровский район (сельское население),район,adm_1959_diss_1024608,Тазовский район (сельское население),район,558.393
1959,adm_1959_218,Надымский район (сельское население),район,adm_1959_diss_1024608,Тазовский район (сельское население),район,738.12
1959,adm_1959_218,Надымский район (сельское население),район,adm_1959_diss_6633624,Приуральский район (сельское население),район,694.314
1959,adm_1959_218,Надымский район (сельское население),район,adm_1959_diss_9714713,Ямальский район (сельское население),район,66.783
1959,adm_1959_22,Поспелихинский район,район,adm_1959_7,Змеиногорский район *,район,9.998
1959,adm_1959_22,Поспелихинский район,район,adm_1959_26,Новичихинский район (сельское население),район,116.109
1959,adm_1959_22,Поспелихинский район,район,adm_1959_34,Шипуновский район (сельское население),район,111.088
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_50,Троицкий район,район,51.832
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_42,Марушинский район (сельское население),район,105.125
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_45,Солтонский район (сельское население),район,58.071
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_57,Ельцовский район (сельское население),район,78.889
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_68,Кытмановский район (сельское население),район,38.928
1959,adm_1959_223,Яминский район (сельское население),район,adm_1959_73,Тогульский район (сельское население),район,54.923
1959,adm_1959_23,Усть-Калманский район (сельское население),район,adm_1959_24,Петропавловский район (сельское население),район,50.719
1959,adm_1959_23,Усть-Калманский район (сельское население),район,adm_1959_36,Усть-Пристанский район (сельское население),район,95.604
1959,adm_1959_23,Усть-Калманский район (сельское население),район,adm_1959_32,Алейский район,район,50.737
1959,adm_1959_232,Салехардский горсовет,горсовет,adm_1959_diss_6633624,Приуральский район (сельское население),район,99.849
1959,adm_1959_24,Петропавловский район (сельское население),район,adm_1959_28,Смоленский район,район,30.607
1959,adm_1959_24,Петропавловский район (сельское население),район,adm_1959_29,Быстроистокский район,район,81.101
1959,adm_1959_24,Петропавловский район (сельское население),район,adm_1959_36,Усть-Пристанский район (сельское население),район,108.884
