year,unit_id,name,unit_type,area_km2,reason,special_status_code
1821,adm_1821_020,Неясная принадлежность границ,спорная территория,1357.483,special_or_uncertain_status,disputed_berezov_mangazeya
1821,adm_1821_021,Березовский уезд,спорная территория,18507.033,special_or_uncertain_status,disputed_berezov_mangazeya
1821,adm_1821_022,Неясная принадлежность границ,спорная территория,3732.645,special_or_uncertain_status,disputed_berezov_mangazeya
1821,adm_1821_023,Волости двоеданцев,волость,12945.699,special_or_uncertain_status,double_tax_volosts
1821,adm_1821_025,Волости двоеданцев,волость,10407.701,special_or_uncertain_status,double_tax_volosts
1821,adm_1821_026,Волости двоеданцев,волость,15494.084,special_or_uncertain_status,double_tax_volosts
1838,adm_1838_009,Де-юре территория бийского округа,де-юре территория округа,10407.701,special_or_uncertain_status,double_tax_volosts
1838,adm_1838_017,Волости двоеданцев,волость,8294.579,special_or_uncertain_status,double_tax_volosts
1838,adm_1838_018,Волости двоеданцев,волость,15494.084,special_or_uncertain_status,double_tax_volosts
1838,adm_1838_022,Акмолинский внешний округ,внешний округ,120776.434,special_or_uncertain_status,external_district_context
1838,adm_1838_023,Кокчетавский внешний округ,внешний округ,169806.935,special_or_uncertain_status,external_district_context
1838,adm_1838_024,Аягузский внешний округ,внешний округ,134619.392,special_or_uncertain_status,external_district_context
1838,adm_1838_025,Баянаульский внешний округ,внешний округ,50509.291,special_or_uncertain_status,external_district_context
1838,adm_1838_026,Каркаралинский внешний округ,внешний округ,66644.948,special_or_uncertain_status,external_district_context
1848,adm_1848_2,Киргизская степь,степная территория,1179423.018,special_or_uncertain_status,kazakh_steppe
1848,adm_1848_15,Волости двоеданцев,волость,39446.823,special_or_uncertain_status,double_tax_volosts
1848,adm_1848_18,Волости двоеданцев,волость,39446.823,special_or_uncertain_status,double_tax_volosts
1918,adm_1918_3,"Бухтарминский уезд, переданный в 1920 г. в Семипалатинскую область",область,15688.953,transferred_to_semipalatinsk_context,
1918,adm_1918_10,Алтайская губерния,губерния,44.624,micro_or_city_polygon_area_lt_50_km2,
1918,adm_1918_12,Территория переданная в Семипалатинскую губернию в сентябре 1918 г.,губерния,2271.357,transferred_to_semipalatinsk_context,
1918,adm_1918_13,Территории переданные Семипалатинской области в 1925 гг.,область,1448.795,transferred_to_semipalatinsk_context,
1918,adm_1918_14,"Часть Змеиногорского уезда, переданная в 1920 г. в Семипалатинскую область",область,18805.598,transferred_to_semipalatinsk_context,
1918,adm_1918_15,Территории переданные Семипалатинской области в 1925 гг.,область,324.67,transferred_to_semipalatinsk_context,
1918,adm_1918_24,Спорная территория между Кузнецким и Щегловским уездом,уезд,2641.294,uncertain_or_disputed_by_name,
1918,urban_1918_1,Барабинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_2,Барнаул,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_3,Берёзов,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_4,Бийск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_5,Ишим,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_6,Каинск / Куйбышев,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_7,Камень-на-Оби,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_8,Кузнецк / Сталинск / Новокузнецк,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_9,Мариинск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_10,Ново-Николаевск / Новосибирск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_11,Омск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_12,Славгород,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_13,Тара,город,28.238,micro_or_city_polygon_area_lt_50_km2,
1918,urban_1918_14,Татарск,город,28.238,micro_or_city_polygon_area_lt_50_km2,
