year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1719,adm_1719_020,Неклассифицированные,АТЕ,Хлыновская провинция,,,,,3609.564,,0,0,0,,,,,,,,,,,,
1719,adm_1719_021,Котельничский уезд,уезд,Хлыновская провинция,,,,,4261.02,,0,0,0,,,,,,,,,,,,
1719,adm_1719_022,Шостаковский уезд,уезд,Хлыновская провинция,,,,,900.242,,0,0,0,,,,,,,,,,,,
1719,adm_1719_023,Енисейский уезд,уезд,Енисейская провинция,,,,,0.003,,0,0,0,,,,,,,,,,,,
1719,adm_1719_024,Томский уезд,уезд,Тобольская провинция,,,,,32.364,,0,0,0,,,,,,,,,,,,
1719,adm_1719_025,Туринский уезд,уезд,Тобольская провинция,,,,,18085.892,,0,0,0,,,,,,,,,,,,
1719,adm_1719_026,Зона неустойчивого контроля,зона неустойчивого контроля,Тобольская провинция,,,,,89111.693,,0,0,0,,,,,,,,,,,,
1719,adm_1719_027,Верхотурский уезд,уезд,Тобольская провинция,,,,,90423.943,,0,0,0,,,,,,,,,,,,
1719,adm_1719_028,Пелымский уезд,уезд,Тобольская провинция,,,,,88821.286,,0,0,0,,,,,,,,,,,,
1719,adm_1719_029,Тюменский уезд,уезд,Тобольская провинция,,,,,128958.281,,0,0,0,,,,,,,,,,,,
1719,adm_1719_030,Кетский уезд,уезд,Тобольская провинция,,,,,79619.959,,0,0,0,,,,,,,,,,,,
1719,adm_1719_031,Нарымский уезд,уезд,Тобольская провинция,,,,,117865.933,,0,0,0,,,,,,,,,,,,
1719,adm_1719_032,Тарский уезд,АТЕ,Тобольская провинция,,,,,90996.544,,0,0,0,,,,,,,,,,,,
1719,adm_1719_033,Тобольский уезд,уезд,Тобольская провинция,,,,,111783.898,,0,0,0,,,,,,,,,,,,
1719,adm_1719_034,Сургутский уезд,уезд,Тобольская провинция,,,,,277539.629,,0,0,0,,,,,,,,,,,,
1724,adm_1724_001,Иркутская провинция,провинция,Иркутская провинция,,,,,6198792.934,,0,0,0,,,,,,,,,,,,
1724,adm_1724_002,Туруханский уезд,уезд,Енисейская провинция,,,,,2225679.032,,0,0,0,,,,,,,,,,,,
1724,adm_1724_003,Берёзовский уезд,уезд,Тобольская провинция,,,,,633034.113,,0,0,0,,,,,,,,,,,,
1724,adm_1724_004,Спорная зона Берёзовского / Мангазейского уездов,спорная территория,Тобольская провинция,,,,,133682.37,,0,0,0,,,,,,,,,,,,
1724,adm_1724_005,Спорная зона Мангазейского / Берёзовского уездов,спорная территория,Тобольская провинция,,,,,47614.565,,0,0,0,,,,,,,,,,,,
1724,adm_1724_006,Томский уезд,уезд,Енисейская провинция,,,,,217497.489,,0,0,0,,,,,,,,,,,,
